file	class	callee_renderings_lost	wholly_vanished_callees	removed_lines	added_lines	candidate_marker	ir_reference_only_instructions	lost_edge_effects	vanished_callee_names	lost_rendering_detail
03959_sub_a037a4.dartpseudo	vanished_behind_indirect_branch	2	1	6	8	indirect_branch_only	0	disposition_RetainedUnreachable:1;lost_edge_after_IndirectBranch:1	fn_0xa03800	fn_0xa03800:2
03983_sub_a0d0d4.dartpseudo	vanished_behind_indirect_branch	20	2	79	7	indirect_branch_only	0	disposition_RetainedUnreachable:2;lost_edge_after_IndirectBranch:2	sub_65b448;sub_d50e6c	sub_65b448:10;sub_d50e6c:10
03996_sub_a11228.dartpseudo	vanished_behind_indirect_branch	4	1	22	1	indirect_branch_only	0	disposition_RetainedUnreachable:4;lost_edge_after_IndirectBranch:4	sub_d50304	sub_d50304:4
04004_sub_a13b38.dartpseudo	fewer_renderings_same_callees	3	0	397	502	none	0			sub_d4fd18:3
04024_sub_a1a0bc.dartpseudo	fewer_renderings_same_callees	24	0	292	229	none	0			sub_6a05dc:8;sub_7bef54:4;sub_7c8100:4;sub_d50264:4;sub_d51a9c:4
04099_sub_a336d4.dartpseudo	fewer_renderings_same_callees	12	0	550	704	none	0			sub_8801c8:10;sub_d50264:2
04172_sub_a4d938.dartpseudo	vanished_behind_indirect_branch	2	2	3	1	indirect_branch_only	0	disposition_RetainedUnreachable:2;lost_edge_after_IndirectBranch:2	sub_6a07a8;sub_983450	sub_6a07a8:1;sub_983450:1
04234_sub_a682b8.dartpseudo	fewer_renderings_same_callees	2	0	79	43	trap_only	2			sel86715:1;sub_d4fcf4:1
04254_sub_a70120.dartpseudo	vanished_behind_indirect_branch	2	1	12	7	indirect_branch_only	0	disposition_RetainedUnreachable:1;lost_edge_after_IndirectBranch:1	fn_0xa70188	fn_0xa70188:2
04286_sub_a7fb1c.dartpseudo	fewer_renderings_same_callees	4	0	55	37	trap_only	2			sub_6130f8:1;sub_614c04:3
04374_sub_a94a24.dartpseudo	fewer_renderings_same_callees	111	0	569	315	trap_only	2			sub_6155d8:7;sub_629cdc:3;sub_696408:18;sub_6c0488:3;sub_9a9864:7;sub_c7c684:9;sub_d4fa4c:10;sub_d4fb90:1;sub_d4fbf8:1;sub_d502a4:2;sub_d50a6c:13;sub_d50e6c:24;sub_d51b44:13
04394_sub_aa1d74.dartpseudo	fewer_renderings_same_callees	10	0	2037	2123	none	0			sub_d51a9c:10
04510_sub_add340.dartpseudo	fewer_renderings_same_callees	2	0	39	45	trap_only	2			sub_6dd400:1;sub_d4fcf4:1
04604_sub_b06cec.dartpseudo	fewer_renderings_same_callees	6	0	361	1300	trap_only	30			sub_6163d0:3;sub_d4fcf4:3
04606_sub_b0e1f8.dartpseudo	fewer_renderings_same_callees	6	0	362	843	trap_only	2			sub_6163d0:3;sub_d4fcf4:3
04616_sub_b118b0.dartpseudo	vanished_behind_indirect_branch	6	3	17	9	indirect_branch_only	0	disposition_RetainedUnreachable:6;lost_edge_after_IndirectBranch:3	sub_6ae994;sub_6aeef4;sub_7632d0	sub_6ae994:2;sub_6aeef4:2;sub_7632d0:2
