run	case	phase	pairs	reference_median_nanos	reference_mad_nanos	candidate_median_nanos	candidate_mad_nanos	median_paired_delta	noise_mad_of_deltas	mde	clears_mde
aa-2	diamond-chain/256/light	cfg	15	1189480.0	9086.0	1195001.0	15279.0	+0.001092	0.009927	0.050000	no
aa-2	diamond-chain/256/light	combined	15	29628769.0	267615.0	29405555.0	118182.0	+0.000107	0.012498	0.050000	no
aa-2	diamond-chain/256/light	emission_exclusive	15	22033812.0	187255.0	21833480.0	89769.0	-0.001320	0.007662	0.050000	no
aa-2	diamond-chain/256/light	ir	15	726955.0	9318.0	727717.0	2815.0	+0.004586	0.013035	0.050000	no
aa-2	diamond-chain/256/light	serialization	15	5555581.0	148101.0	5603371.0	42339.0	+0.008152	0.023452	0.070357	no
aa-2	diamond-chain/64/base	cfg	15	106091.0	2465.0	105029.0	1954.0	-0.008897	0.030527	0.091580	no
aa-2	diamond-chain/64/base	combined	15	6896659.0	94298.0	6920054.0	84769.0	+0.000679	0.017435	0.052304	no
aa-2	diamond-chain/64/base	emission_exclusive	15	5270252.0	38963.0	5274791.0	60453.0	-0.005085	0.021505	0.064514	no
aa-2	diamond-chain/64/base	ir	15	119577.0	4409.0	119186.0	3657.0	-0.012823	0.055671	0.167013	no
aa-2	diamond-chain/64/base	serialization	15	1401492.0	32130.0	1427671.0	16341.0	+0.003333	0.041558	0.124675	no
aa-2	diamond-chain/64/heavy	cfg	15	101281.0	711.0	101412.0	681.0	+0.007579	0.009641	0.050000	no
aa-2	diamond-chain/64/heavy	combined	15	19136769.0	164992.0	19129775.0	205849.0	+0.001087	0.014540	0.050000	no
aa-2	diamond-chain/64/heavy	emission_exclusive	15	14293254.0	206419.0	14205195.0	117018.0	-0.002856	0.013583	0.050000	no
aa-2	diamond-chain/64/heavy	ir	15	386882.0	3166.0	384137.0	4218.0	-0.005691	0.009463	0.050000	no
aa-2	diamond-chain/64/heavy	serialization	15	4340042.0	102363.0	4454940.0	83757.0	+0.002789	0.031918	0.095753	no
aa-2	diamond-chain/64/light	cfg	15	102274.0	1002.0	102233.0	892.0	-0.000596	0.017363	0.052089	no
aa-2	diamond-chain/64/light	combined	15	7200975.0	89950.0	7196315.0	86263.0	-0.000647	0.013037	0.050000	no
aa-2	diamond-chain/64/light	emission_exclusive	15	5563796.0	82996.0	5562995.0	49612.0	-0.000144	0.011336	0.050000	no
aa-2	diamond-chain/64/light	ir	15	130677.0	2865.0	128994.0	2425.0	-0.012879	0.047821	0.143463	no
aa-2	diamond-chain/64/light	serialization	15	1385812.0	34966.0	1427019.0	16602.0	+0.009781	0.028867	0.086602	no
aa-2	fan-in/1024/base	cfg	15	10751743.0	205399.0	10818169.0	428370.0	-0.012683	0.042829	0.128487	no
aa-2	fan-in/1024/base	combined	15	801824208.0	2267671.0	801790971.0	2687177.0	-0.000042	0.008479	0.050000	no
aa-2	fan-in/1024/base	emission_exclusive	15	782672024.0	2687046.0	781861263.0	3133571.0	-0.001226	0.005846	0.050000	no
aa-2	fan-in/1024/base	ir	15	6827437.0	90703.0	6887872.0	88248.0	+0.011677	0.017996	0.053988	no
aa-2	fan-in/1024/base	serialization	15	1826596.0	15609.0	1815404.0	12652.0	-0.005874	0.013043	0.050000	no
aa-2	fan-in/256/base	cfg	15	562695.0	15580.0	581621.0	28123.0	+0.008619	0.064153	0.192459	no
aa-2	fan-in/256/base	combined	15	81456709.0	584342.0	81300254.0	385421.0	-0.002221	0.008447	0.050000	no
aa-2	fan-in/256/base	emission_exclusive	15	79299481.0	569122.0	79103007.0	300760.0	-0.003730	0.010261	0.050000	no
aa-2	fan-in/256/base	ir	15	678383.0	6813.0	679966.0	5100.0	+0.001670	0.014115	0.050000	no
